date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,tse_open,tse_high,tse_low,tse_close,tse_volume,txf_open,txf_high,txf_low,txf_close,txf_volume,above_ma
2019/1/2,-9525531024,-47841420,-11255,35769,-4637,-3566,9725.269531,9737.679688,9542.519531,9554.139648,72331,9760,9762,9506,9529,165919,0
2019/1/3,-8876753519,-676229506,-2518,33251,2598,-968,9494.25,9554.530273,9474.469727,9492.419922,89857,9488,9547,9433,9443,130622,0
2019/1/4,-9286665740,-1010008792,-3601,29651,1595,623,9427.240234,9427.240234,9319.280273,9382.509766,106187,9367,9410,9305,9370,168543,0
2019/1/7,8233740113,927803271,6510,37763,9204,3419,9460.200195,9596.349609,9460.200195,9590.299805,92057,9541,9588,9490,9563,144887,0
2019/1/8,-953535515,309232983,-2188,35575,1227,4646,9591.55957,9600.94043,9547.629883,9563.599609,77313,9600,9611,9532,9558,120551,0
2019/1/9,12109564071,677467536,8004,44806,2887,2735,9584.629883,9741.639648,9584.629883,9738.30957,126145,9608,9755,9602,9709,160570,0
2019/1/10,-745000032,196797004,2438,47243,174,2917,9731.110352,9731.110352,9683.200195,9720.69043,87641,9710,9713,9673,9694,95986,42
2019/1/11,5870564482,330073506,2119,49362,2435,5352,9753.629883,9796.980469,9736,9759.400391,94030,9760,9803,9724,9750,131199,40
2019/1/14,-4206395196,172637397,-5224,44138,-4159,1193,9737.669922,9762.370117,9677.490234,9708.219727,71640,9738,9756,9660,9689,111772,37
2019/1/15,9109080612,374210075,8029,52955,5920,3961,9701.929688,9806.040039,9701.929688,9806.040039,98071,9743,9817,9715,9794,132371,44
2019/1/16,-1371365328,457295134,-2643,48317,-2880,2329,9781.349609,9803.990234,9763.80957,9763.80957,94928,9781,9804,9755,9784,57162,40
2019/1/17,1183081681,-219050160,4070,52387,3806,6135,9773.30957,9826.25,9759.509766,9789.150391,91046,9777,9834,9721,9779,142681,38
2019/1/18,5015866425,750001648,-55,52332,-78,6057,9781.389648,9842.799805,9771.150391,9836.05957,96032,9825,9846,9770,9821,115258,43
2019/1/21,5397114758,-1164136677,-245,53296,3433,4654,9870.269531,9919.94043,9870.269531,9889.400391,92007,9885,9919,9856,9864,119813,44
2019/1/22,1125837377,-68624098,714,54016,-1577,3053,9880.540039,9894.660156,9855.469727,9894.660156,77311,9841,9868,9822,9845,93360,44
2019/1/23,834523241,370466001,-5762,48254,-4459,-1345,9869.540039,9873.389648,9828.030273,9846.400391,65392,9830,9860,9807,9819,106247,33
2019/1/24,2116959315,68228924,3441,51696,2678,1329,9865,9892.820313,9847.320313,9877.120117,83285,9833,9884,9820,9860,104490,40
2019/1/25,15797919881,713322376,9414,61112,7258,8579,9923.389648,9980.080078,9918.209961,9969.610352,111960,9928,9989,9911,9968,116391,45
2019/1/28,6069484978,405230710,-2126,58986,-1610,6969,10006.45996,10020.59961,9990.070313,10013.33008,92790,10000,10018,9975,9986,81385,42
2019/1/29,-1754874365,-457269813,-6779,52207,-5018,1951,9944.709961,9952.339844,9893.959961,9931.589844,88198,9932,9936,9880,9922,113689,39
2019/1/30,813376602,243960325,-1787,50420,-1306,690,9915.969727,9959.030273,9909.80957,9932.259766,99366,9925,9956,9896,9924,83952,34
2019/2/11,13048754625,-186410340,2482,52906,3694,4321,10029.83984,10065.51953,9988.830078,10004.25,132188,10010,10067,9966,9998,101414,29
2019/2/12,9221739639,-7173776,5077,57992,3267,7552,10032.08008,10100.23047,10032.08008,10097.74023,123237,10049,10093,10029,10084,77940,37
2019/2/13,3393716423,-347195143,-5224,52781,-2601,4921,10123.61035,10140.98047,10074.33984,10090.58008,138600,10125,10128,10055,10085,96268,34
2019/2/14,-852617939,210448920,3637,56449,634,5431,10095.99023,10135.62012,10082,10089.00977,112273,10045,10124,10034,10079,95955,30
2019/2/15,-5231124983,-177568704,617,57066,2019,7450,10111.17969,10135.16016,10055.5,10064.78027,112770,10040,10116,10022,10042,111580,25
2019/2/18,4976359163,64701744,825,58788,4125,7987,10096.94043,10165.76953,10096.94043,10145.28027,102946,10111,10161,10098,10138,96852,33
